"Land" "ober" "einw" "brut" "arbl"
"Österreich" 83855 8.1 23310 4.3
"Deutschland" 357868 82 22800 8.1
"Frankreich" 543965 59.2 21980 10
"Finnland" 338145 5.2 23460 9.8
"Dänemark" 43075 5.3 30420 5.4
"Tschechien" 78864 10.3 4340 8.8
"Bulgarien" 110994 7.9 1470 16.3
"Belgien" 30520 10.2 22110 7
"Griechenland" 131957 10.6 10670 10.8
"Ungarn" 93030 10 4550 6.5
"Irland" 70282 3.8 24740 4.7
"Italien" 301245 57.5 18620 10.8
"Niederlanden" 41526 15.9 22910 3.6
"Norwegen" 323878 4.5 36020 3.4
"Polen" 312683 38.6 4080 16.7
"Portugal" 88940 10 10500 3.8
"Rumänien" 237500 22.4 1640 10.8
"Slowakei" 49035 5.4 3540 18.9
"Slowenien" 20253 2 9120 7.5
"Spanien" 504782 39.9 14150 14.1
"Schweden" 449964 8.8 25630 5.1
"Schweiz" 41293 7.2 33390 2.7
"Ukraine" 603700 49.6 640 11.9
"Grossbritanien" 242534 59.4 23680 5.3
