店名,地址,分類,緯度,經度
藍象廷 泰鍋 台中中友店,台中市北區三民路三段161號(中友百貨C棟15樓),台中火鍋TOP15,24.15213,120.6849
輕井澤鍋物 公益店,台中市西區公益路276號,台中火鍋TOP15,24.15105,120.654
無老鍋 台中公益店,台中市南屯區公益路二段74號,台中火鍋TOP15,24.15103,120.6505
臥龍成巴蜀麻辣燙,台中市西屯區福科路839號,台中火鍋TOP15,24.18712,120.608
鼎王麻辣鍋 台中公益店,台中市南屯區公益路2段42號,台中火鍋TOP15,24.15111,120.6513
士官長野地餐廳,台中市北區陜西路72號,台中火鍋TOP15,24.16918,120.6684
霸王羊肉爐,台中市西屯區河南路2段126-1號,台中火鍋TOP15,24.17613,120.6593
牧沐苑精緻麻辣火鍋,台中市西區台灣大道二段99巷3號,台中火鍋TOP15,24.1495,120.6707
徠圍?北方風味館,台中市西屯區寧夏路108號,台中火鍋TOP15,24.16619,120.6619
綠之巢 有機鮮活 向上墊,台中市西區向上路一段1號,台中火鍋TOP15,24.14664,120.6695
阿官火鍋專家 台中逢甲店,台中市西屯區逢甲路173號,台中火鍋TOP15,24.17756,120.6421
那個鍋,台中市西屯區福星路522號,台中火鍋TOP15,24.17687,120.645
九冠樓石頭火鍋,台中市西區美村路一段231號,台中火鍋TOP15,24.14921,120.6619
台灣陳沙茶火鍋,台中市中區台灣大道一段81巷25號,台中火鍋TOP15,24.13854,120.6832
偈亭泡菜鍋 一中店,台中市北區三民路三段106巷14號,台中火鍋TOP15,24.14941,120.6846
若茵農場,台中市和平鄉中坑村雪山路1號,台中景觀餐廳TOP10,24.25039,120.9006
不夜天夜景餐廳,台中市龍井區台灣大道六段55號,台中景觀餐廳TOP10,24.19146,120.579
深藍景觀咖啡館,台中市台灣大道六段612巷168號,台中景觀餐廳TOP10,24.19652,120.5802
三河弦景觀餐廳,台中市北屯區北坑巷12-22號,台中景觀餐廳TOP10,24.16459,120.7491
陸光七村景觀餐廳,台中市北屯區北坑巷12-20號,台中景觀餐廳TOP10,24.16562,120.7409
MITAKA 3e CAFE,台中市沙鹿區東晉東路731號,台中景觀餐廳TOP10,24.21927,120.5899
峰星夜情休閒餐廳,台中市霧峰區萊園村仁德巷45-1號,台中景觀餐廳TOP10,24.05756,120.7084
星野咖啡,台中市太平區山田路長青巷19號,台中景觀餐廳TOP10,24.13703,120.813
菇神景觀餐廳,台中市新社區協成里協中街287號,台中景觀餐廳TOP10,24.20068,120.7993
丹堤咖啡－台中童綜合店,台中市梧棲區台灣大道八段699號25樓,台中景觀餐廳TOP10,24.24722,120.5428
Rabbit Hole兔子洞?甜點工作室,台中市西區五權西一街127號,台中咖啡廳TOP16,24.13404,120.6643
Doob2豆子餐廳,台中市西區大墩12街20號,台中咖啡廳TOP16,24.15006,120.6545
landscape 1893 cafe,台中市西屯區大墩18街93號,台中咖啡廳TOP16,24.15712,120.6492
retro mojo cafe,台中市精誠路6街22號,台中咖啡廳TOP16,24.15701,120.6567
拾光機壹號,台中市北區大誠街124號,台中咖啡廳TOP16,24.14726,120.6812
