"date","ratio"
"2007/12/31",0.9
"2008/1/2",0.95
"2008/1/3",1
"2008/1/4",1
"2008/1/7",0.95
"2008/1/8",0.95
"2008/1/9",0.95
"2008/1/10",0.95
"2008/1/11",0.95
"2008/1/14",0.95
"2008/1/15",0.95
"2008/1/16",0.95
"2008/1/17",0.95
"2008/1/18",0.95
"2008/1/21",0.95
"2008/1/22",0.95
"2008/1/23",0.95
"2008/1/24",0.95
"2008/1/25",0.95
"2008/1/28",0.95
"2008/1/29",0.95
"2008/1/30",0.95
"2008/1/31",0.95
"2008/2/1",0.95
"2008/2/12",0.95
"2008/2/13",0.95
"2008/2/14",0.95
"2008/2/15",0.95
"2008/2/18",0.95
"2008/2/19",0.95
"2008/2/20",0.95
"2008/2/21",0.95
"2008/2/22",0.95
"2008/2/25",0.95
"2008/2/26",0.95
"2008/2/27",0.95
"2008/2/29",0.95
"2008/3/3",0.9
"2008/3/4",0.9
"2008/3/5",0.9
"2008/3/6",0.9
"2008/3/7",0.9
"2008/3/10",0.85
"2008/3/11",0.85
"2008/3/12",0.9
"2008/3/13",0.95
"2008/3/14",0.85
"2008/3/17",0.75
"2008/3/18",0.6
"2008/3/19",0.55
"2008/3/20",0.55
"2008/3/21",0.5
"2008/3/24",0.5
"2008/3/25",0.5
"2008/3/26",0.55
"2008/3/27",0.6
"2008/3/28",0.6
"2008/3/31",0.65
"2008/4/1",0.65
"2008/4/2",0.65
"2008/4/3",0.65
"2008/4/7",0.75
"2008/4/8",0.75
"2008/4/9",0.75
"2008/4/10",0.75
"2008/4/11",0.8
"2008/4/14",0.95
"2008/4/15",0.95
"2008/4/16",0.95
"2008/4/17",0.95
"2008/4/18",1
"2008/4/21",1
"2008/4/22",1
"2008/4/23",1
"2008/4/24",1
"2008/4/25",1
"2008/4/28",1
"2008/4/29",1
"2008/4/30",1
"2008/5/2",1
"2008/5/5",1
"2008/5/6",1
"2008/5/7",1
"2008/5/8",1
"2008/5/9",1
"2008/5/12",1
"2008/5/13",1
"2008/5/14",1
"2008/5/15",1
"2008/5/16",1
"2008/5/19",1
"2008/5/20",1
"2008/5/21",1
"2008/5/22",1
"2008/5/23",1
"2008/5/26",1
"2008/5/27",1
"2008/5/28",1
"2008/5/29",1
"2008/5/30",1
